date,confirmed,recovered,deaths,daily_confirmed,daily_recovered,daily_deaths
2020-01-30,1,0,0,1,0,0
2020-01-31,1,0,0,0,0,0
2020-02-01,1,0,0,0,0,0
2020-02-02,2,0,0,1,0,0
2020-02-03,3,0,0,1,0,0
2020-02-04,3,0,0,0,0,0
2020-02-05,3,0,0,0,0,0
2020-02-06,3,0,0,0,0,0
2020-02-07,3,0,0,0,0,0
2020-02-08,3,0,0,0,0,0
2020-02-09,3,0,0,0,0,0
2020-02-10,3,0,0,0,0,0
2020-02-11,3,0,0,0,0,0
2020-02-12,3,0,0,0,0,0
2020-02-13,3,1,0,0,1,0
2020-02-14,3,1,0,0,0,0
2020-02-15,3,1,0,0,0,0
2020-02-16,3,2,0,0,1,0
2020-02-17,3,2,0,0,0,0
2020-02-18,3,2,0,0,0,0
2020-02-19,3,2,0,0,0,0
2020-02-20,3,3,0,0,1,0
2020-02-21,3,3,0,0,0,0
2020-02-22,3,3,0,0,0,0
2020-02-23,3,3,0,0,0,0
2020-02-24,3,3,0,0,0,0
2020-02-25,3,3,0,0,0,0
2020-02-26,3,3,0,0,0,0
2020-02-27,3,3,0,0,0,0
2020-02-28,3,3,0,0,0,0
2020-02-29,3,3,0,0,0,0
2020-03-01,3,3,0,0,0,0
2020-03-02,5,3,0,2,0,0
2020-03-03,6,3,0,1,0,0
2020-03-04,28,3,0,22,0,0
2020-03-05,30,3,0,2,0,0
2020-03-06,31,3,0,1,0,0
2020-03-07,34,3,0,3,0,0
2020-03-08,39,3,0,5,0,0
2020-03-09,48,3,0,9,0,0
2020-03-10,63,4,0,15,1,0
2020-03-11,71,4,0,8,0,0
2020-03-12,82,4,1,11,0,1
2020-03-13,91,10,1,9,6,0
2020-03-14,102,10,2,11,0,1
2020-03-15,112,13,2,10,3,0
2020-03-16,127,14,2,15,1,0
2020-03-17,146,15,3,19,1,1
2020-03-18,171,15,3,25,0,0
2020-03-19,198,20,4,27,5,1
2020-03-20,256,23,4,58,3,0
2020-03-21,334,23,4,78,0,0
2020-03-22,403,23,7,69,0,3
2020-03-23,497,25,9,94,2,2
2020-03-24,571,40,10,74,15,1
2020-03-25,657,43,11,86,3,1
2020-03-26,730,50,16,73,7,5
2020-03-27,883,75,19,153,25,3
2020-03-28,1024,85,24,141,10,5
2020-03-29,1139,102,27,115,17,3
2020-03-30,1329,137,43,190,35,16
2020-03-31,1635,150,49,306,13,6
2020-04-01,2059,169,56,424,19,7
2020-04-02,2545,191,72,486,22,16
2020-04-03,3105,230,86,560,39,14
2020-04-04,3684,286,99,579,56,13
2020-04-05,4289,329,121,605,43,22
2020-04-06,4778,394,137,489,65,16
2020-04-07,5351,469,164,573,75,27
2020-04-08,5916,565,184,565,96,20
2020-04-09,6729,635,230,813,70,46
2020-04-10,7600,786,252,871,151,22
2020-04-11,8454,972,292,854,186,40
2020-04-12,8454,972,292,0,0,0
